"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.venue.id","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","away.color","away.alternateColor","away.logo","status.type.altDetail","game_id","PBP","odds","situation.lastPlay.id","situation.lastPlay.type.id","situation.lastPlay.type.text","situation.lastPlay.text","situation.lastPlay.scoreValue","situation.lastPlay.team.id","situation.lastPlay.athletesInvolved"
310621020,"s:40~l:59~e:310621020~c:310621020","2011-06-21T16:00Z",0,"True","False","False","False","[]","2011-06-21T16:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",1827,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","True",1847,2011,NA,"","","",NA,"","","","","",NA,"","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","",310621020,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310619006,"s:40~l:59~e:310619006~c:310619006","2011-06-20T00:30Z",0,"True","False","False","False","[]","2011-06-20T00:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/la.png",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","True",2184,2011,1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","",NA,"","05452a","f7c43c","https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png","",310619006,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310619011,"s:40~l:59~e:310619011~c:310619011","2011-06-19T22:00Z",0,"True","False","False","False","[]","2011-06-19T22:00Z",1,"STD",0,"0",5,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",NA,2011,NA,"","","",NA,"","","","","",NA,"","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","OT",310619011,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310619020,"s:40~l:59~e:310619020~c:310619020","2011-06-19T19:00Z",0,"True","False","False","False","[]","2011-06-19T19:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","5190cd","f1f2f3","True",1827,"https://a.espncdn.com/i/teamlogos/wnba/500/atl.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","True",2029,2011,NA,"","","",NA,"","playoff","Playoff Series","MIN Wins series 3-0","True",5,"[{'id': '20', 'uid': 's:40~l:59~t:20', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2011/teams/20?lang=en&region=us'}, {'id': '8', 'uid': 's:40~l:59~t:8', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2011/teams/8?lang=en&region=us'}]","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","",310619020,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310619018,"s:40~l:59~e:310619018~c:310619018","2011-06-19T17:00Z",0,"True","False","False","False","[]","2011-06-19T17:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62","True",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","True",1847,2011,2160,"Mohegan Sun Arena","Uncasville","CT",10000,"True","","","","",NA,"","4f91cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/chi.png","",310619018,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310618003,"s:40~l:59~e:310618003~c:310618003","2011-06-19T00:00Z",0,"True","False","False","False","[]","2011-06-19T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Tulsa","Shock","TUL","Tulsa Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","True",1823,2011,1911,"BOK Center","Tulsa","OK",0,"False","","","","",NA,"","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png","",310618003,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310617011,"s:40~l:59~e:310617011~c:310617011","2011-06-18T02:00Z",0,"True","False","False","False","[]","2011-06-18T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:59~t:11","Phoenix","Mercury","PHX","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/phx.png",17,"s:40~l:59~t:17","San Antonio","Silver Stars","SA","San Antonio Silver Stars","Silver Stars","False",780,2011,NA,"","","",NA,"","","","","",NA,"","000000","c7cfd4","https://a.espncdn.com/i/teamlogos/wnba/500/sa.png","",310617011,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310617014,"s:40~l:59~e:310617014~c:310617014","2011-06-18T02:00Z",0,"True","False","False","False","[]","2011-06-18T02:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",NA,2011,2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","",310617014,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310617019,"s:40~l:59~e:310617019~c:310617019","2011-06-18T00:30Z",0,"True","False","False","False","[]","2011-06-18T00:30Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3","True",1847,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","True",1826,2011,NA,"","","",NA,"","","","","",NA,"","0d79b9","89c9bf","https://a.espncdn.com/i/teamlogos/wnba/500/ny.png","",310617019,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
310617008,"s:40~l:59~e:310617008~c:310617008","2011-06-18T00:00Z",0,"True","False","False","False","[]","2011-06-18T00:00Z",1,"STD",0,"0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757","True",2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",20,"s:40~l:59~t:20","Atlanta","Dream","ATL","Atlanta Dream","Dream","True",1827,2011,2029,"Target Center","Minneapolis","MN",19006,"False","playoff","Playoff Series","MIN Wins series 3-0","True",5,"[{'id': '8', 'uid': 's:40~l:59~t:8', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2011/teams/8?lang=en&region=us'}, {'id': '20', 'uid': 's:40~l:59~t:20', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2011/teams/20?lang=en&region=us'}]","5190cd","f1f2f3","https://a.espncdn.com/i/teamlogos/wnba/500/atl.png","",310617008,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
