"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","tournamentId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","game_id","PBP"
320780197,"s:40~l:54~e:320780197~c:320780197","2012-03-18T19:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-18T19:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",197,"s:40~l:54~t:197","Oklahoma State","Cowgirls","OKST","Oklahoma State Cowgirls","Oklahoma State","FF6500","ff9900","True",1992,"https://a.espncdn.com/i/teamlogos/ncaa/500/197.png",8,2724,"s:40~l:54~t:2724","Wichita State","Shockers","WICH","Wichita State Shockers","Wichita State","0d0a03","ffc41e","True",2086,"https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png",18,37,"",2012,NA,"","","",1992,"Gallagher-Iba Arena","Stillwater","OK",13611,"True",320780197,TRUE
320782603,"s:40~l:54~e:320782603~c:320782603","2012-03-18T18:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-18T18:00Z",NA,"",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",2603,"s:40~l:54~t:2603","Saint Joseph's","Hawks","JOES","Saint Joseph's Hawks","Saint Joseph's","C2071B","101010","True",2150,"https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png",3,2670,"s:40~l:54~t:2670","VCU","Rams","VCU","VCU Rams","VCU","929292","edb71d","True",2051,"https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png",10,37,"OT",2012,NA,"","","",2030,"KFC Yum! Center","Louisville","KY",22090,"True",320782603,TRUE
320780256,"s:40~l:54~e:320780256~c:320780256","2012-03-18T18:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-18T18:00Z",NA,"",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",256,"s:40~l:54~t:256","James Madison","Dukes","JMU","James Madison Dukes","James Madison","450084","cbb778","True",7107,"https://a.espncdn.com/i/teamlogos/ncaa/500/256.png",10,154,"s:40~l:54~t:154","Wake Forest","Demon Deacons","WAKE","Wake Forest Demon Deacons","Wake Forest","9E7E38","000000","True",2120,"https://a.espncdn.com/i/teamlogos/ncaa/500/154.png",2,37,"OT",2012,NA,"","","",1980,"JMU Convocation Center","Harrisonburg","VA",6426,"True",320780256,TRUE
320770204,"s:40~l:54~e:320770204~c:320770204","2012-03-18T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-18T02:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",204,"s:40~l:54~t:204","Oregon State","Beavers","ORST","Oregon State Beavers","Oregon State","c34500","dea076","True",506,"https://a.espncdn.com/i/teamlogos/ncaa/500/204.png",21,2608,"s:40~l:54~t:2608","Saint Mary's","Gaels","SMC","Saint Mary's Gaels","Saint Mary's","003768","d02f35","True",488,"https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png",29,37,"",2012,NA,"","","",506,"Gill Coliseum","Corvallis","OR",9604,"True",320770204,TRUE
320772623,"s:40~l:54~e:320772623~c:320772623","2012-03-18T00:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-18T00:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2623,"s:40~l:54~t:2623","Missouri St","Lady Bears","MOSU","Missouri St Lady Bears","Missouri State","5F0000","e8e8e8","True",1966,"https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png",18,235,"s:40~l:54~t:235","Memphis","Tigers","MEM","Memphis Tigers","Memphis","002447","231f20","True",2202,"https://a.espncdn.com/i/teamlogos/ncaa/500/235.png",11,37,"",2012,NA,"","","",NA,"","","",NA,"",320772623,TRUE
320770058,"s:40~l:54~e:320770058~c:320770058","2012-03-17T23:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-17T23:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",58,"s:40~l:54~t:58","South Florida","Bulls","USF","South Florida Bulls","South Florida","004A36","231f20","True",2041,"https://a.espncdn.com/i/teamlogos/ncaa/500/58.png",4,2229,"s:40~l:54~t:2229","Florida International","Panthers","FIU","Florida International Panthers","FIU","001538","c5960c","True",2216,"https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png",27,37,"",2012,NA,"","","",NA,"","","",NA,"",320770058,TRUE
320770218,"s:40~l:54~e:320770218~c:320770218","2012-03-17T22:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-17T22:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",218,"s:40~l:54~t:218","Temple","Owls","TEM","Temple Owls","Temple","A80532","a7a9ac","True",4117,"https://a.espncdn.com/i/teamlogos/ncaa/500/218.png",3,108,"s:40~l:54~t:108","Harvard","Crimson","HARV","Harvard Crimson","Harvard","990000","dbdbdb","True",2209,"https://a.espncdn.com/i/teamlogos/ncaa/500/108.png",12,37,"",2012,NA,"","","",2011,"Liacouras Center","Philadelphia","PA",10200,"True",320770218,TRUE
320770152,"s:40~l:54~e:320770152~c:320770152","2012-03-17T21:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 2nd ROUND""}]","2012-03-17T21:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",152,"s:40~l:54~t:152","NC State","Wolfpack","NCST","NC State Wolfpack","NC State","EF1216","231f20","True",2139,"https://a.espncdn.com/i/teamlogos/ncaa/500/152.png",2,2026,"s:40~l:54~t:2026","Appalachian State","Mountaineers","APP","Appalachian State Mountaineers","Appalachian St","000000","ffcd00","True",2137,"https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png",24,37,"",2012,NA,"","","",2139,"William Neal Reynolds Coliseum","Raleigh","NC",5500,"True",320770152,TRUE
320760301,"s:40~l:54~e:320760301~c:320760301","2012-03-17T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 1st ROUND""}]","2012-03-17T02:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",301,"s:40~l:54~t:301","San Diego","Toreros","USD","San Diego Toreros","San Diego","2f99d4","2f99d4","True",501,"https://a.espncdn.com/i/teamlogos/ncaa/500/301.png",29,2463,"s:40~l:54~t:2463","CSU Northridge","Matadors","CSUN","CSU Northridge Matadors","CSU Northridge","b50000","","True",586,"https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png",9,37,"",2012,NA,"","","",501,"Jenny Craig Pavilion","San Diego","CA",5100,"True",320760301,TRUE
320760279,"s:40~l:54~e:320760279~c:320760279","2012-03-17T02:00Z",0,"True","False","False","False","[{'type': 'event', 'headline': ""WOMEN'S NIT - 1st ROUND""}]","2012-03-17T02:00Z",NA,"",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",279,"s:40~l:54~t:279","Pacific","Tigers","PAC","Pacific Tigers","Pacific","F47820","c2c3c0","True",553,"https://a.espncdn.com/i/teamlogos/ncaa/500/279.png",9,9,"s:40~l:54~t:9","Arizona St","Sun Devils","ASU","Arizona St Sun Devils","Arizona State","942139","f1f2f3","True",833,"https://a.espncdn.com/i/teamlogos/ncaa/500/9.png",21,37,"",2012,NA,"","","",NA,"","","",NA,"",320760279,TRUE
