,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,tournamentId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor
0,320632086,s:40~l:54~e:320632086~c:320632086,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2086,s:40~l:54~t:2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,00a3e0,True,2032,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,45,2750,s:40~l:54~t:2750,Wright State,Raiders,WRST,Wright State Raiders,Wright State,E9AF10,e2b629,True,192,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,45,,,2012,45,Horizon League,Horizon,True,2032,Hinkle Fieldhouse,Indianapolis,IN,9100.0,True
0,320632006,s:40~l:54~e:320632006~c:320632006,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ""MAC WOMEN'S TOURNAMENT - 1st ROUND""}]",2012-03-03T19:00Z,16,SEMI,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2006,s:40~l:54~t:2006,Akron,Zips,AKR,Akron Zips,Akron,00285e,84754e,True,2203,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,14,2084,s:40~l:54~t:2084,Buffalo,Bulls,BUFF,Buffalo Bulls,Buffalo,041A9B,ebebeb,True,2107,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,14,16.0,,2012,14,Mid-American Conference,MAC,True,,,,,,
0,320630339,s:40~l:54~e:320630339~c:320630339,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,339,s:40~l:54~t:339,Evansville,Purple Aces,EVAN,Evansville Purple Aces,Evansville,663399,ef6f00,True,2462,https://a.espncdn.com/i/teamlogos/ncaa/500/339.png,18,282,s:40~l:54~t:282,Indiana State,Sycamores,INST,Indiana State Sycamores,Indiana State,00669a,f0f0f0,True,2170,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,18,,,2012,18,Missouri Valley Conference,MVC,True,395,Roberts Stadium,Evansville,IN,12300.0,False
0,320630325,s:40~l:54~e:320630325~c:320630325,2012-03-03T19:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T19:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,325,s:40~l:54~t:325,Cleveland State,Vikings,CLEV,Cleveland State Vikings,Cleveland State,006633,231f20,True,2143,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png,45,2754,s:40~l:54~t:2754,Youngstown State,Penguins,YSU,Youngstown State Penguins,Youngstown St,E51937,690717,True,2054,https://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,45,,,2012,45,Horizon League,Horizon,True,2143,Wolstein Center,Cleveland,OH,13610.0,True
0,320630305,s:40~l:54~e:320630305~c:320630305,2012-03-03T19:30Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""BIG EAST WOMEN'S CHAMPIONSHIP - 2nd ROUND AT HARTFORD CT""}]",2012-03-03T19:30Z,6,TRNMNT,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,True,1997,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,58,s:40~l:54~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,True,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,4,6.0,,2012,4,Big East Conference,Big East,True,,,,,,
0,320630257,s:40~l:54~e:320630257~c:320630257,2012-03-03T19:30Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""ATLANTIC 10 WOMEN'S CHAMPIONSHIP - QUARTERFINAL AT PHILADELPHIA""}]",2012-03-03T19:30Z,1,STD,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,257,s:40~l:54~t:257,Richmond,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e,True,4486,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,3,2603,s:40~l:54~t:2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,True,2150,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,3,2.0,,2012,3,Atlantic 10 Conference,A 10,True,2030,KFC Yum! Center,Louisville,KY,22090.0,True
0,320632724,s:40~l:54~e:320632724~c:320632724,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2724,s:40~l:54~t:2724,Wichita State,Shockers,WICH,Wichita State Shockers,Wichita State,0d0a03,ffc41e,True,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,18,2460,s:40~l:54~t:2460,Northern Iowa,Panthers,UNI,Northern Iowa Panthers,Northern Iowa,473282,ffffff,True,1948,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,18,,,2012,18,Missouri Valley Conference,MVC,True,2086,Charles Koch Arena,Wichita,KS,10506.0,True
0,320632582,s:40~l:54~e:320632582~c:320632582,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2582,s:40~l:54~t:2582,Southern,Lady Jaguars,SOU,Southern Lady Jaguars,Southern,004B97,ffc82d,True,2210,https://a.espncdn.com/i/teamlogos/ncaa/500/2582.png,26,2640,s:40~l:54~t:2640,Texas Southern,Lady Tigers,TXSO,Texas Southern Lady Tigers,Texas Southern,6A0403,ebebeb,True,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,,,2012,26,Southwestern Athletic Conference,SWAC,True,2210,F. G. Clark Activity Center,Baton Rouge,LA,7500.0,True
0,320632534,s:40~l:54~e:320632534~c:320632534,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2534,s:40~l:54~t:2534,Sam Houston State,Bearkats,SHSU,Sam Houston State Bearkats,Sam Houston St,fe5000,000000,True,4585,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,25,326,s:40~l:54~t:326,Texas State,Bobcats,TXST,Texas State Bobcats,Texas State,4e1719,b4975a,True,2010,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,27,,,2012,,,,,,,,,,
0,320632466,s:40~l:54~e:320632466~c:320632466,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2466,s:40~l:54~t:2466,Northwestern State,Lady Demons,NWST,Northwestern State Lady Demons,Northwestern St,492F91,ed6118,True,1939,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,25,2617,s:40~l:54~t:2617,Stephen F. Austin,Ladyjacks,SFA,Stephen F. Austin Ladyjacks,SF Austin,393996,bec0c2,True,2079,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,25,,,2012,,,,,1939,Prather Coliseum,Natchitoches,LA,3400.0,True
0,320632350,s:40~l:54~e:320632350~c:320632350,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2350,s:40~l:54~t:2350,Loyola Chicago,Ramblers,LUC,Loyola Chicago Ramblers,Loyola Chicago,9d1244,,True,1933,https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png,45,270,s:40~l:54~t:270,Milwaukee,Panthers,MILW,Milwaukee Panthers,Milwaukee,000000,ffc20e,True,415,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,45,,,2012,45,Horizon League,Horizon,True,1933,Joseph J. Gentile Arena,Chicago,IL,4963.0,True
0,320632110,s:40~l:54~e:320632110~c:320632110,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2110,s:40~l:54~t:2110,Central Arkansas,Sugar Bears,CARK,Central Arkansas Sugar Bears,Cent Arkansas,a7a9ac,8e959a,True,1908,https://a.espncdn.com/i/teamlogos/ncaa/500/2110.png,25,357,s:40~l:54~t:357,Texas A&M-CC,Islanders,AMCC,Texas A&M-CC Islanders,Texas A&M-CC,00639c,008752,True,2211,https://a.espncdn.com/i/teamlogos/ncaa/500/357.png,25,,,2012,,,,,1908,Farris Center,Conway,AR,5000.0,True
0,320632016,s:40~l:54~e:320632016~c:320632016,2012-03-03T20:00Z,0,True,False,True,False,"[{'type': 'event', 'headline': ''}]",2012-03-03T20:00Z,0,N/A,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2016,s:40~l:54~t:2016,Alcorn State,Lady Braves,ALCN,Alcorn State Lady Braves,Alcorn State,4b0058,46166a,True,2072,https://a.espncdn.com/i/teamlogos/ncaa/500/2016.png,26,2504,s:40~l:54~t:2504,Prairie View A&M,Lady Panthers,PV,Prairie View A&M Lady Panthers,Prairie View,4d0960,,True,2027,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,26,,,2012,26,Southwestern Athletic Conference,SWAC,True,,,,,,
