"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.isActive","away.venue.id","season","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","away.color","away.alternateColor","away.logo","status.type.altDetail","game_id","PBP"
220606002,"s:40~l:59~e:220606002~c:220606002","2002-06-06T23:00Z",0,"True","False","False","False","[]","2002-06-06T23:00Z",1,"STD",11,"11.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2,"s:40~l:59~t:2","Cleveland","Rockers","CLE","Cleveland Rockers","Rockers","","","True",3417,"",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False",1911,2002,3417,"Quicken Loans Arena","Cleveland","OH",20562,"False","","","","",NA,"","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png","",220606002,TRUE
220605005,"s:40~l:59~e:220605005~c:220605005","2002-06-06T00:00Z",0,"True","False","False","False","[]","2002-06-06T00:00Z",1,"STD",6,"6.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","e2382f","08265b","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/ind.png",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","True",NA,2002,NA,"","","",NA,"","","","","",NA,"","","","https://a.espncdn.com/i/teamlogos/wnba/500/hou.png","",220605005,TRUE
220605009,"s:40~l:59~e:220605009~c:220605009","2002-06-05T23:30Z",0,"True","False","False","False","[]","2002-06-05T23:30Z",1,"STD",1,"1.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:59~t:9","New York","Liberty","NYL","New York Liberty","Liberty","0d79b9","89c9bf","True",1826,"https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","False",1911,2002,1830,"Madison Square Garden","New York","NY",19763,"False","","","","",NA,"","11213e","c5d646","https://a.espncdn.com/i/teamlogos/wnba/500/tul.png","",220605009,TRUE
220604014,"s:40~l:59~e:220604014~c:220604014","2002-06-05T02:00Z",0,"True","False","False","False","[]","2002-06-05T02:00Z",1,"STD",2,"2.0",3,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c","True",2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","True",2029,2002,2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"","005084","47a757","https://a.espncdn.com/i/teamlogos/wnba/500/min.png","",220604014,TRUE
220604015,"s:40~l:59~e:220604015~c:220604015","2002-06-05T01:00Z",0,"True","False","False","False","[]","2002-06-05T01:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",15,"s:40~l:59~t:15","Utah","Starzz","UTH","Utah Starzz","Starzz","","","True",NA,"",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","True",1823,2002,NA,"","","",NA,"","","","","",NA,"","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/was.png","",220604015,TRUE
220604007,"s:40~l:59~e:220604007~c:220604007","2002-06-04T23:00Z",0,"True","False","False","False","[]","2002-06-04T23:00Z",1,"STD",1,"1.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",7,"s:40~l:59~t:7","Miami","Sol","MIA","Miami Sol","Sol","","","True",3438,"",10,"s:40~l:59~t:10","Orlando","Miracle","ORL","Orlando Miracle","Miracle","True",NA,2002,3438,"AmericanAirlines Arena","Miami","FL",19600,"True","","","","",NA,"","","","","",220604007,TRUE
220603006,"s:40~l:59~e:220603006~c:220603006","2002-06-04T02:30Z",0,"True","False","False","False","[]","2002-06-04T02:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:59~t:6","Los Angeles","Sparks","LOS","Los Angeles Sparks","Sparks","532481","49ac9c","True",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/los.png",12,"s:40~l:59~t:12","Portland","Fire","POR","Portland Fire","Fire","True",3423,2002,1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","",NA,"","","","","",220603006,TRUE
220603011,"s:40~l:59~e:220603011~c:220603011","2002-06-04T02:00Z",0,"True","False","False","False","[]","2002-06-04T02:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:59~t:11","Phoenix","Mercury","PHO","Phoenix Mercury","Mercury","3a267d","e56020","True",1949,"https://a.espncdn.com/i/teamlogos/wnba/500/pho.png",16,"s:40~l:59~t:16","Washington","Mystics","WAS","Washington Mystics","Mystics","True",1823,2002,1949,"Phoenix Suns Arena","Phoenix","AZ",18055,"True","","","","",NA,"","e03a3e","09295a","https://a.espncdn.com/i/teamlogos/wnba/500/was.png","",220603011,TRUE
220603001,"s:40~l:59~e:220603001~c:220603001","2002-06-03T23:00Z",0,"True","False","False","False","[]","2002-06-03T23:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",1,"s:40~l:59~t:1","Charlotte","Sting","CHA","Charlotte Sting","Sting","","","True",NA,"https://a.espncdn.com/i/teamlogos/wnba/500/cha.png",4,"s:40~l:59~t:4","Houston","Comets","HOU","Houston Comets","Comets","True",NA,2002,NA,"","","",NA,"","","","","",NA,"","","","https://a.espncdn.com/i/teamlogos/wnba/500/hou.png","",220603001,TRUE
220602003,"s:40~l:59~e:220602003~c:220602003","2002-06-02T23:30Z",0,"True","False","False","False","[]","2002-06-02T23:30Z",1,"STD",1,"1.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:59~t:3","Detroit","Shock","TUL","Detroit Shock","Shock","11213e","c5d646","False",1911,"https://a.espncdn.com/i/teamlogos/wnba/500/tul.png",5,"s:40~l:59~t:5","Indiana","Fever","IND","Indiana Fever","Fever","True",NA,2002,3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","","","","",NA,"","e2382f","08265b","https://a.espncdn.com/i/teamlogos/wnba/500/ind.png","",220602003,TRUE
