id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.isActive,season,away.color,away.alternateColor,away.venue.id,away.logo,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail,game_id
401129943,s:40~l:59~e:401129943~c:401129943,2019-05-17T23:00Z,0,True,False,False,False,[],2019-05-17T23:00Z,1,STD,6178,Albany Civic Center,Albany,GA,8436,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,True,2019,e03a3e,09295a,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,,,,,,,401129943
401129944,s:40~l:59~e:401129944~c:401129944,2019-05-18T02:30Z,0,True,True,False,False,[],2019-05-18T02:30Z,1,STD,3498,Hutto-Patterson Gymnasium,Pasadena,CA,0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2019,05452a,f7c43c,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,,,,,,,401129944
401129945,s:40~l:59~e:401129945~c:401129945,2019-05-19T18:00Z,2367,True,True,False,False,[],2019-05-19T18:00Z,1,STD,20,Times Union Center,Albany,NY,7146,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,True,2019,de6b36,002d62,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,,,,,,,,401129945
401129946,s:40~l:59~e:401129946~c:401129946,2019-05-19T19:00Z,3428,True,False,False,False,[],2019-05-19T19:00Z,1,STD,3416,College Park Center,Arlington,TX,0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,True,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,2019,e2382f,08265b,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,,,,,,,401129946
401129947,s:40~l:59~e:401129947~c:401129947,2019-05-19T19:30Z,0,True,True,False,False,[],2019-05-19T19:30Z,1,STD,1051,Cox Pavilion,Las Vegas,NV,2500,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,True,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2019,005084,47a757,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,,,,,,,401129947
401104913,s:40~l:59~e:401104913~c:401104913,2019-05-24T23:30Z,3070,True,False,False,False,[],2019-05-24T23:30Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,True,2019,11213e,c5d646,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,,,,,,,,401104913
401104914,s:40~l:59~e:401104914~c:401104914,2019-05-25T00:00Z,1965,True,False,False,False,[],2019-05-25T00:00Z,1,STD,5584,Westchester County Center,White Plains,NY,5000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,2019,e2382f,08265b,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,,,,,,,401104914
401104915,s:40~l:59~e:401104915~c:401104915,2019-05-25T19:30Z,8500,True,False,False,False,[],2019-05-25T19:30Z,1,STD,5242,Angel of the Winds Arena,Everett,WA,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,True,2019,3a267d,e56020,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,,,,,,,,401104915
401104916,s:40~l:59~e:401104916~c:401104916,2019-05-25T23:30Z,7913,True,False,False,False,[],2019-05-25T23:30Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,True,2019,e03a3e,09295a,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,playoff,Playoff Series,WSH Wins series 3-2,True,5.0,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 2, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/18?lang=en&region=us'}, {'id': '16', 'uid': 's:40~l:59~t:16', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/16?lang=en&region=us'}]",,401104916
401104917,s:40~l:59~e:401104917~c:401104917,2019-05-26T00:00Z,8524,True,False,False,False,[],2019-05-26T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,2019,4f91cd,f1f2f3,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,,,,,,,401104917
401104918,s:40~l:59~e:401104918~c:401104918,2019-05-27T00:00Z,7249,True,False,False,False,[],2019-05-27T00:00Z,1,STD,4005,Michelob Ultra Arena,Las Vegas,NV,12000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,True,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,True,2019,532481,49ac9c,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,,,,,,,401104918
401104919,s:40~l:59~e:401104919~c:401104919,2019-05-28T23:00Z,4781,True,False,False,False,[],2019-05-28T23:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,2019,e2382f,08265b,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,,,,,,,401104919
401104920,s:40~l:59~e:401104920~c:401104920,2019-05-30T00:00Z,8092,True,False,False,False,[],2019-05-30T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2019,05452a,f7c43c,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,,,,,,,401104920
401104921,s:40~l:59~e:401104921~c:401104921,2019-05-31T23:30Z,2119,True,False,False,False,[],2019-05-31T23:30Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2019,05452a,f7c43c,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,,,,,,,401104921
401104922,s:40~l:59~e:401104922~c:401104922,2019-06-01T02:00Z,14090,True,False,False,False,[],2019-06-01T02:00Z,1,STD,1949,Phoenix Suns Arena,Phoenix,AZ,18055,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,True,2019,000000,c7cfd4,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,,,,,,,,401104922
401104923,s:40~l:59~e:401104923~c:401104923,2019-06-01T02:30Z,12334,True,False,False,False,[],2019-06-01T02:30Z,1,STD,1841,STAPLES Center,Los Angeles,CA,19068,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,True,2019,de6b36,002d62,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,playoff,Playoff Series,CONN Wins series 3-0,True,5.0,"[{'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/6?lang=en&region=us'}, {'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/18?lang=en&region=us'}]",,401104923
401104924,s:40~l:59~e:401104924~c:401104924,2019-06-01T23:00Z,5003,True,False,False,False,[],2019-06-01T23:00Z,1,STD,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,True,2019,0d79b9,89c9bf,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,,,,,,,,401104924
401104925,s:40~l:59~e:401104925~c:401104925,2019-06-01T23:00Z,4200,True,False,False,False,[],2019-06-01T23:00Z,1,STD,5946,Entertainment & Sports Arena,Washington,DC,4200,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,True,2019,5190cd,f1f2f3,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,,,,,,,,401104925
401104926,s:40~l:59~e:401104926~c:401104926,2019-06-02T00:00Z,7063,True,False,False,False,[],2019-06-02T00:00Z,1,STD,5427,Wintrust Arena,Chicago,IL,10387,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,2019,05452a,f7c43c,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,,,,,,,,401104926
401104927,s:40~l:59~e:401104927~c:401104927,2019-06-02T00:00Z,6535,True,False,False,False,[],2019-06-02T00:00Z,1,STD,3416,College Park Center,Arlington,TX,0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,True,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2019,005084,47a757,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,,,,,,,401104927
401104928,s:40~l:59~e:401104928~c:401104928,2019-06-02T22:00Z,2747,True,False,False,False,[],2019-06-02T22:00Z,1,STD,4005,Michelob Ultra Arena,Las Vegas,NV,12000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,000000,c7cfd4,True,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,True,2019,de6b36,002d62,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,,,,,,,,401104928
401104929,s:40~l:59~e:401104929~c:401104929,2019-06-04T15:00Z,3579,True,False,False,False,[],2019-06-04T15:00Z,1,STD,5584,Westchester County Center,White Plains,NY,5000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,True,2019,532481,49ac9c,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,,,,,,,401104929
401104930,s:40~l:59~e:401104930~c:401104930,2019-06-05T02:00Z,5711,True,False,False,False,[],2019-06-05T02:00Z,1,STD,5242,Angel of the Winds Arena,Everett,WA,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,2019,005084,47a757,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,,,,,,,,401104930
401104931,s:40~l:59~e:401104931~c:401104931,2019-06-05T23:00Z,2347,True,False,False,False,[],2019-06-05T23:00Z,1,STD,5946,Entertainment & Sports Arena,Washington,DC,4200,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,True,2019,4f91cd,f1f2f3,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,,,,,,,401104931
401104932,s:40~l:59~e:401104932~c:401104932,2019-06-06T23:00Z,2630,True,False,False,False,[],2019-06-06T23:00Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,5190cd,f1f2f3,True,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,17,s:40~l:59~t:17,Las Vegas,Aces,LV,Las Vegas Aces,Aces,True,2019,000000,c7cfd4,780,https://a.espncdn.com/i/teamlogos/wnba/500/lv.png,,,,,,,,401104932
401104933,s:40~l:59~e:401104933~c:401104933,2019-06-06T23:00Z,5496,True,False,False,False,[],2019-06-06T23:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,True,2019,532481,49ac9c,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,playoff,Playoff Series,CONN Wins series 3-0,True,5.0,"[{'id': '18', 'uid': 's:40~l:59~t:18', 'wins': 3, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/18?lang=en&region=us'}, {'id': '6', 'uid': 's:40~l:59~t:6', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/wnba/seasons/2019/teams/6?lang=en&region=us'}]",,401104933
401104934,s:40~l:59~e:401104934~c:401104934,2019-06-07T00:00Z,8001,True,False,False,False,[],2019-06-07T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,True,2019,3a267d,e56020,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,,,,,,,,401104934
401104935,s:40~l:59~e:401104935~c:401104935,2019-06-07T23:00Z,3671,True,False,False,False,[],2019-06-07T23:00Z,1,STD,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,2183,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,True,2019,11213e,c5d646,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,,,,,,,,401104935
401104936,s:40~l:59~e:401104936~c:401104936,2019-06-07T23:30Z,1567,True,False,False,False,[],2019-06-07T23:30Z,1,STD,5584,Westchester County Center,White Plains,NY,5000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1830,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,True,2019,e03a3e,09295a,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,,,,,,,,401104936
401104937,s:40~l:59~e:401104937~c:401104937,2019-06-08T19:30Z,8834,True,False,False,False,[],2019-06-08T19:30Z,1,STD,2029,Target Center,Minneapolis,MN,19006,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,True,2019,532481,49ac9c,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,,,,,,,401104937
