id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_logo,status_type_alt_detail,PBP,team_box,player_box
400927589,s:40~l:59~e:400927589~c:400927589,2017-09-02T02:30Z,12163,TRUE,FALSE,FALSE,FALSE,[],2017-09-02T02:30Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,400927589,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,TRUE,TRUE
400927588,s:40~l:59~e:400927588~c:400927588,2017-09-02T02:00Z,9971,TRUE,FALSE,FALSE,FALSE,[],2017-09-02T02:00Z,1,STD,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,400927588,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,TRUE,TRUE
400927587,s:40~l:59~e:400927587~c:400927587,2017-09-02T00:00Z,9709,TRUE,FALSE,FALSE,FALSE,[],2017-09-02T00:00Z,1,STD,1835,Xcel Energy Center,Saint Paul,MN,17954,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,1835,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,400927587,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,TRUE,TRUE
400927586,s:40~l:59~e:400927586~c:400927586,2017-09-01T23:30Z,10108,TRUE,FALSE,FALSE,FALSE,[],2017-09-01T23:30Z,1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,"",400927586,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,"",TRUE,TRUE,TRUE
400927585,s:40~l:59~e:400927585~c:400927585,2017-09-01T23:00Z,11567,TRUE,FALSE,FALSE,FALSE,[],2017-09-01T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,400927585,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,OT,TRUE,TRUE,TRUE
400927584,s:40~l:59~e:400927584~c:400927584,2017-08-31T00:00Z,5896,TRUE,FALSE,FALSE,FALSE,[],2017-08-31T00:00Z,1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,400927584,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,TRUE,TRUE
400927583,s:40~l:59~e:400927583~c:400927583,2017-08-30T23:00Z,7625,TRUE,FALSE,FALSE,FALSE,[],2017-08-30T23:00Z,1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,1835,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,400927583,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",TRUE,TRUE,TRUE
400973288,s:40~l:59~e:400973288~c:400973288,2017-08-29T23:30Z,10953,TRUE,FALSE,FALSE,FALSE,[],2017-08-29T23:30Z,1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,400973288,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",TRUE,TRUE,TRUE
400927582,s:40~l:59~e:400927582~c:400927582,2017-08-28T01:00Z,13882,TRUE,FALSE,FALSE,FALSE,[],2017-08-28T01:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400927582,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,TRUE,TRUE
400927581,s:40~l:59~e:400927581~c:400927581,2017-08-27T23:00Z,19282,TRUE,FALSE,FALSE,FALSE,[],2017-08-27T23:00Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,1835,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,400927581,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,TRUE,TRUE
