id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_logo,game_id,season,season_type,away_color,away_alternate_color,away_venue_id,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP
260707019,s:40~l:59~e:260707019~c:260707019,2006-07-08T00:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-08T00:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,260707019,2006,2,0d79b9,89c9bf,1826,4f91cd,f1f2f3,1847,,"","","",,,"",TRUE
260707008,s:40~l:59~e:260707008~c:260707008,2006-07-08T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-08T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",260707008,2006,2,11213e,c5d646,1911,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE
260707017,s:40~l:59~e:260707017~c:260707017,2006-07-08T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-08T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,260707017,2006,2,"","",,000000,c7cfd4,780,,"","","",,,"",TRUE
260707016,s:40~l:59~e:260707016~c:260707016,2006-07-07T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-07T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,260707016,2006,2,"","",,e03a3e,09295a,1823,,"","","",,,"",TRUE
260706003,s:40~l:59~e:260706003~c:260706003,2006-07-06T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-06T23:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,260706003,2006,2,3a267d,e56020,1949,11213e,c5d646,1911,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,"",TRUE
260706009,s:40~l:59~e:260706009~c:260706009,2006-07-06T23:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-06T23:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,260706009,2006,2,"","",,0d79b9,89c9bf,1826,1830,Madison Square Garden,New York,NY,19763,FALSE,"",TRUE
260706018,s:40~l:59~e:260706018~c:260706018,2006-07-06T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-06T23:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,260706018,2006,2,"","",,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE
260705006,s:40~l:59~e:260705006~c:260705006,2006-07-06T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-06T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,260705006,2006,2,"","",,532481,49ac9c,1841,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
260705008,s:40~l:59~e:260705008~c:260705008,2006-07-06T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-06T00:00Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,260705008,2006,2,e03a3e,09295a,1823,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE
260703006,s:40~l:59~e:260703006~c:260703006,2006-07-04T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2006-07-04T02:30Z,1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",260703006,2006,2,000000,c7cfd4,780,532481,49ac9c,1841,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,"",TRUE
