id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_logo,status_type_alt_detail
400445823,s:40~l:59~e:400445823~c:400445823,2013-06-14T23:30Z,4960,True,False,False,False,[],2013-06-14T23:30Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,True,1827,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,400445823,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,
400445826,s:40~l:59~e:400445826~c:400445826,2013-06-14T23:30Z,5845,True,False,False,False,[],2013-06-14T23:30Z,1,STD,1826,Prudential Center,Newark,NJ,18500,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,True,1826,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,400445826,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,
400445831,s:40~l:59~e:400445831~c:400445831,2013-06-15T00:00Z,5273,True,False,False,False,[],2013-06-15T00:00Z,1,STD,1911,BOK Center,Tulsa,OK,0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,False,1911,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,400445831,2013,2,,
400445835,s:40~l:59~e:400445835~c:400445835,2013-06-15T02:00Z,13065,True,False,False,False,[],2013-06-15T02:00Z,1,STD,1949,Footprint Center,Phoenix,AZ,18055,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,400445835,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,
400445841,s:40~l:59~e:400445841~c:400445841,2013-06-16T02:30Z,6980,True,False,False,False,[],2013-06-16T02:30Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,True,1841,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,400445841,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,
400445843,s:40~l:59~e:400445843~c:400445843,2013-06-16T18:00Z,6649,True,False,False,False,[],2013-06-16T18:00Z,1,STD,1823,Capital One Arena,Washington,DC,20362,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,400445843,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,
400445847,s:40~l:59~e:400445847~c:400445847,2013-06-16T19:00Z,5552,True,False,False,False,[],2013-06-16T19:00Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,True,1827,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,True,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,400445847,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,
400445852,s:40~l:59~e:400445852~c:400445852,2013-06-16T20:30Z,4206,True,False,False,False,[],2013-06-16T20:30Z,1,STD,1911,BOK Center,Tulsa,OK,0,False,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,False,1911,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400445852,2013,2,,OT
400445854,s:40~l:59~e:400445854~c:400445854,2013-06-16T21:00Z,6550,True,False,False,False,[],2013-06-16T21:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,True,2160,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,400445854,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,
400445879,s:40~l:59~e:400445879~c:400445879,2013-06-19T02:00Z,4579,True,False,False,False,[],2013-06-19T02:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,True,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,400445879,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,OT
