id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_venue_id,status_type_alt_detail,PBP
400864380,s:40~l:59~e:400864380~c:400864380,2016-07-07T00:00Z,3701,TRUE,FALSE,FALSE,FALSE,[],2016-07-07T00:00Z,1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,"",16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,400864380,2016,2,780,"",TRUE
400864377,s:40~l:59~e:400864377~c:400864377,2016-07-06T23:00Z,9852,TRUE,FALSE,FALSE,FALSE,[],2016-07-06T23:00Z,1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,400864377,2016,2,1826,"",TRUE
400864375,s:40~l:59~e:400864375~c:400864375,2016-07-06T00:30Z,5480,TRUE,FALSE,FALSE,FALSE,[],2016-07-06T00:30Z,1,STD,3416,College Park Center,Arlington,TX,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400864375,2016,2,1911,"",TRUE
400864371,s:40~l:59~e:400864371~c:400864371,2016-07-06T00:00Z,7433,TRUE,FALSE,FALSE,FALSE,[],2016-07-06T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,400864371,2016,2,2029,"",TRUE
400864368,s:40~l:59~e:400864368~c:400864368,2016-07-05T23:00Z,3983,TRUE,FALSE,FALSE,FALSE,[],2016-07-05T23:00Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,400864368,2016,2,1827,"",TRUE
400864366,s:40~l:59~e:400864366~c:400864366,2016-07-03T22:00Z,6557,TRUE,FALSE,FALSE,FALSE,[],2016-07-03T22:00Z,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,400864366,2016,2,1827,"",TRUE
400864365,s:40~l:59~e:400864365~c:400864365,2016-07-03T21:00Z,10003,TRUE,FALSE,FALSE,FALSE,[],2016-07-03T21:00Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,400864365,2016,2,1841,"",TRUE
400864363,s:40~l:59~e:400864363~c:400864363,2016-07-03T00:30Z,5108,TRUE,FALSE,FALSE,FALSE,[],2016-07-03T00:30Z,1,STD,3416,College Park Center,Arlington,TX,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,400864363,2016,2,1911,"",TRUE
400864360,s:40~l:59~e:400864360~c:400864360,2016-07-03T00:00Z,7534,TRUE,FALSE,FALSE,FALSE,[],2016-07-03T00:00Z,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,"",400864360,2016,2,2029,"",TRUE
400864358,s:40~l:59~e:400864358~c:400864358,2016-07-02T02:00Z,11606,TRUE,FALSE,FALSE,FALSE,[],2016-07-02T02:00Z,1,STD,1949,Footprint Center,Phoenix,AZ,18055,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,400864358,2016,2,1949,"",TRUE
