id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,game_id,season,season_type,away_color,away_alternate_color,away_logo,away_venue_id,status_type_alt_detail,PBP,team_box,player_box
310911003,s:40~l:59~e:310911003~c:310911003,2011-09-11T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T23:00Z,1,STD,1911,BOK Center,Tulsa,OK,0,FALSE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,"",17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,FALSE,310911003,2011,2,000000,c7cfd4,"",780,OT,TRUE,TRUE,TRUE
310911011,s:40~l:59~e:310911011~c:310911011,2011-09-11T22:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T22:00Z,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,310911011,2011,2,005084,47a757,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,2029,"",TRUE,TRUE,TRUE
310911005,s:40~l:59~e:310911005~c:310911005,2011-09-11T21:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T21:00Z,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,TRUE,310911005,2011,2,d02030,383a37,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,1827,"",TRUE,TRUE,TRUE
310911018,s:40~l:59~e:310911018~c:310911018,2011-09-11T17:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T17:00Z,1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,TRUE,310911018,2011,2,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,1826,"",TRUE,TRUE,TRUE
310910006,s:40~l:59~e:310910006~c:310910006,2011-09-11T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T02:30Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,310910006,2011,2,4f91cd,f1f2f3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,1847,"",TRUE,TRUE,TRUE
310910017,s:40~l:59~e:310910017~c:310910017,2011-09-11T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-11T00:00Z,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,TRUE,310910017,2011,2,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,1823,"",TRUE,TRUE,TRUE
310909006,s:40~l:59~e:310909006~c:310909006,2011-09-10T02:30Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-10T02:30Z,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,FALSE,310909006,2011,2,11213e,c5d646,"",1911,"",TRUE,TRUE,TRUE
310909014,s:40~l:59~e:310909014~c:310909014,2011-09-10T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-10T02:00Z,1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,TRUE,310909014,2011,2,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,1949,"",TRUE,TRUE,TRUE
310909009,s:40~l:59~e:310909009~c:310909009,2011-09-09T23:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-09T23:00Z,1,STD,1826,Prudential Center,Newark,NJ,18500,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,310909009,2011,2,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,"",TRUE,TRUE,TRUE
310908011,s:40~l:59~e:310908011~c:310908011,2011-09-09T02:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2011-09-09T02:00Z,1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,FALSE,310908011,2011,2,11213e,c5d646,"",1911,"",TRUE,TRUE,TRUE
