id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,game_id,season,season_type,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor
230627009,s:40~l:59~e:230627009~c:230627009,2003-06-27T23:30Z,0,True,False,False,False,[],2003-06-27T23:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,False,1911,,230627009,2003,2,0d79b9,89c9bf,1826,,,,,,
230627008,s:40~l:59~e:230627008~c:230627008,2003-06-28T00:00Z,0,True,False,False,False,[],2003-06-28T00:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,True,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,230627008,2003,2,005084,47a757,2029,,,,,,
230628004,s:40~l:59~e:230628004~c:230628004,2003-06-28T20:00Z,0,True,False,False,False,[],2003-06-28T20:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,230628004,2003,2,,,,,,,,,
230628001,s:40~l:59~e:230628001~c:230628001,2003-06-28T22:00Z,0,True,False,False,False,[],2003-06-28T22:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,230628001,2003,2,,,,,,,,,
230628003,s:40~l:59~e:230628003~c:230628003,2003-06-28T23:30Z,0,True,False,False,False,[],2003-06-28T23:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,230628003,2003,2,11213e,c5d646,1911,,,,,,
230628005,s:40~l:59~e:230628005~c:230628005,2003-06-29T00:00Z,0,True,False,False,False,[],2003-06-29T00:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,230628005,2003,2,e2382f,08265b,,,,,,,
230628006,s:40~l:59~e:230628006~c:230628006,2003-06-29T02:30Z,0,True,False,False,False,[],2003-06-29T02:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,True,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,230628006,2003,2,532481,49ac9c,1841,,,,,,
230629016,s:40~l:59~e:230629016~c:230629016,2003-06-29T18:00Z,0,True,False,False,False,[],2003-06-29T18:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,True,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,230629016,2003,2,e03a3e,09295a,1823,,,,,,
230629002,s:40~l:59~e:230629002~c:230629002,2003-06-29T23:00Z,0,True,False,False,False,[],2003-06-29T23:00Z,1,STD,17.0,17.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,True,,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,True,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,230629002,2003,2,,,3417,,,,,,
230630001,s:40~l:59~e:230630001~c:230630001,2003-06-30T23:00Z,0,True,False,False,False,[],2003-06-30T23:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,True,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,230630001,2003,2,,,,,,,,,
230701004,s:40~l:59~e:230701004~c:230701004,2003-07-01T04:00Z,0,True,False,False,False,[],2003-07-01T04:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,True,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,True,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,230701004,2003,2,,,,,,,,,
230701003,s:40~l:59~e:230701003~c:230701003,2003-07-01T23:30Z,0,True,False,False,False,[],2003-07-01T23:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,False,780,,230701003,2003,2,11213e,c5d646,1911,,,,,,
230701009,s:40~l:59~e:230701009~c:230701009,2003-07-02T00:00Z,0,True,False,False,False,[],2003-07-02T00:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,True,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,True,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,230701009,2003,2,0d79b9,89c9bf,1826,,,,,,
230702018,s:40~l:59~e:230702018~c:230702018,2003-07-02T23:00Z,0,True,False,False,False,[],2003-07-02T23:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,,,True,3417,,230702018,2003,2,de6b36,002d62,2160,,,,,,
230702005,s:40~l:59~e:230702005~c:230702005,2003-07-03T00:00Z,0,True,False,False,False,[],2003-07-03T00:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,True,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,True,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,230702005,2003,2,e2382f,08265b,,,,,,,
230702013,s:40~l:59~e:230702013~c:230702013,2003-07-03T02:00Z,0,True,False,False,False,[],2003-07-03T02:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,True,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,230702013,2003,2,,,,,,,,,
230703003,s:40~l:59~e:230703003~c:230703003,2003-07-03T23:30Z,0,True,False,False,False,[],2003-07-03T23:30Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,False,,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,230703003,2003,2,11213e,c5d646,1911,,,,,,
230703014,s:40~l:59~e:230703014~c:230703014,2003-07-04T02:00Z,0,True,False,False,False,[],2003-07-04T02:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,True,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,True,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,230703014,2003,2,05452a,f7c43c,2184,,,,,,
230704018,s:40~l:59~e:230704018~c:230704018,2003-07-04T23:00Z,0,True,False,False,False,[],2003-07-04T23:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,True,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,230704018,2003,2,de6b36,002d62,2160,,,,,,
230705001,s:40~l:59~e:230705001~c:230705001,2003-07-05T22:00Z,0,True,False,False,False,[],2003-07-05T22:00Z,1,STD,0.0,0.0,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,True,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,,,True,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,230705001,2003,2,,,,,,,,,
