id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,PBP,team_box,player_box
400590670,s:40~l:54~e:400590670~c:400590670,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,1937,Pan American Center,Las Cruces,NM,12572,TRUE,1200,20:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,166,s:40~l:54~t:166,New Mexico State,Aggies,NMSU,New Mexico State Aggies,New Mexico St,891216,000000,TRUE,1937,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,30,2547,s:40~l:54~t:2547,Seattle U,Redhawks,SEA,Seattle U Redhawks,Seattle U,BF2E1A,c2c3c0,TRUE,1965,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,30,400590670,2015,2,"",30,Western Athletic Conference,WAC,TRUE,,FALSE,FALSE,FALSE
400590668,s:40~l:54~e:400590668~c:400590668,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2091,UCCU Center,Orem,UT,8500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3084,s:40~l:54~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,e1c736,TRUE,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,2253,s:40~l:54~t:2253,Grand Canyon,Lopes,GCU,Grand Canyon Lopes,Grand Canyon,522398,f0f0f0,TRUE,4534,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,30,400590668,2015,2,"",30,Western Athletic Conference,WAC,TRUE,,FALSE,FALSE,FALSE
400590068,s:40~l:54~e:400590068~c:400590068,2015-01-17T21:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T21:00Z,0,N/A,2117,Don Haskins Center,El Paso,TX,12000,TRUE,1200,20:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,TRUE,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,11,2636,s:40~l:54~t:2636,UTSA,Roadrunners,UTSA,UTSA Roadrunners,UTSA,002A5C,f47321,TRUE,2115,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,11,400590068,2015,2,"",11,Conference USA,C-USA,TRUE,,FALSE,FALSE,FALSE
400590669,s:40~l:54~e:400590669~c:400590669,2015-01-17T20:05Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:05Z,0,N/A,1951,Jones Convocation Center,Chicago,IL,7000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2130,s:40~l:54~t:2130,Chicago State,Cougars,CHIC,Chicago State Cougars,Chicago State,006700,"",TRUE,1951,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,30,140,s:40~l:54~t:140,Kansas City,Roos,KC,Kansas City Roos,Kansas City,004b87,ffc72c,TRUE,4052,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,30,400590669,2015,2,"",30,Western Athletic Conference,WAC,TRUE,,FALSE,FALSE,FALSE
400592375,s:40~l:54~e:400592375~c:400592375,2015-01-17T20:00Z,3449,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2305,s:40~l:54~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,e8000d,TRUE,2171,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,8,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,004834,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,400592375,2015,2,"",8,Big 12 Conference,Big 12,TRUE,,TRUE,TRUE,TRUE
400602081,s:40~l:54~e:400602081~c:400602081,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,4489,Trojan Arena,Troy,AL,5200,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2653,s:40~l:54~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,TRUE,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,290,s:40~l:54~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,Georgia So,003775,f0f0f0,TRUE,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,27,400602081,2015,2,"",27,Sun Belt Conference,Sun Belt,TRUE,,FALSE,FALSE,FALSE
400602046,s:40~l:54~e:400602046~c:400602046,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2061,Fant-Ewing Coliseum,Monroe,LA,7085,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2433,s:40~l:54~t:2433,UL Monroe,Warhawks,ULM,UL Monroe Warhawks,UL Monroe,231F20,b18445,TRUE,2061,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,27,2031,s:40~l:54~t:2031,Little Rock,Trojans,UALR,Little Rock Trojans,Little Rock,AD0000,898d8f,TRUE,2180,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png,27,400602046,2015,2,"",27,Sun Belt Conference,Sun Belt,TRUE,,FALSE,FALSE,FALSE
400601753,s:40~l:54~e:400601753~c:400601753,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2016,Paul Porter Arena,Boiling Springs,NC,4500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2241,s:40~l:54~t:2241,Gardner-Webb,Runnin' Bulldogs,GWEB,Gardner-Webb Runnin' Bulldogs,Gardner-Webb,c12535,909090,TRUE,2016,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png,6,2427,s:40~l:54~t:2427,UNC Asheville,Bulldogs,UNCA,UNC Asheville Bulldogs,UNC Asheville,156199,c2c3c0,TRUE,2609,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,6,400601753,2015,2,"",6,Big South Conference,Big South,TRUE,,FALSE,FALSE,FALSE
400597502,s:40~l:54~e:400597502~c:400597502,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2049,Donald W. Reynolds Center,Tulsa,OK,8355,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,202,s:40~l:54~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,004371,ee3b33,TRUE,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,62,248,s:40~l:54~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,TRUE,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,62,400597502,2015,2,"",62,American Athletic Conference,American,TRUE,,FALSE,FALSE,FALSE
400597501,s:40~l:54~e:400597501~c:400597501,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2048,Avron B. Fogelman Arena in the Devlin Fieldhouse,New Orleans,LA,4000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2655,s:40~l:54~t:2655,Tulane,Green Wave,TULN,Tulane Green Wave,Tulane,005837,3baf29,TRUE,2048,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,62,2567,s:40~l:54~t:2567,SMU,Mustangs,SMU,SMU Mustangs,SMU,E32F38,ecdcb9,TRUE,1961,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,62,400597501,2015,2,"",62,American Athletic Conference,American,TRUE,,FALSE,FALSE,FALSE
400595840,s:40~l:54~e:400595840~c:400595840,2015-01-17T20:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2015-01-17T20:00Z,0,N/A,2191,Pete Hanna Center,Birmingham,AL,5000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2535,s:40~l:54~t:2535,Samford,Bulldogs,SAM,Samford Bulldogs,Samford,005485,bc0023,TRUE,2191,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,24,231,s:40~l:54~t:231,Furman,Paladins,FUR,Furman Paladins,Furman,4A2184,909090,TRUE,2166,https://a.espncdn.com/i/teamlogos/ncaa/500/231.png,24,400595840,2015,2,"",24,Southern Conference,Southern,TRUE,,FALSE,FALSE,FALSE
