id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,PBP,team_box,player_box
280510046,s:40~l:54~e:280510046~c:280510046,2008-02-21T00:30Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:30Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,46,s:40~l:54~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,2013,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,1997,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,280510046,2008,2,"",4,Big East Conference,Big East,TRUE,,,"","","",,,FALSE,FALSE,FALSE
280510041,s:40~l:54~e:280510041~c:280510041,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,269,s:40~l:54~t:269,Marquette,Golden Eagles,MARQ,Marquette Golden Eagles,Marquette,083963,ffffff,TRUE,906,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,4,280510041,2008,2,"",4,Big East Conference,Big East,TRUE,,,"","","",,,TRUE,FALSE,FALSE
280510045,s:40~l:54~e:280510045~c:280510045,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,1,STD,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,45,s:40~l:54~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,139,s:40~l:54~t:139,Saint Louis,Billikens,SLU,Saint Louis Billikens,Saint Louis,00539C,ebebeb,TRUE,1947,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,3,280510045,2008,2,"",3,Atlantic 10 Conference,A 10,TRUE,,,"","","",,,TRUE,FALSE,FALSE
280512603,s:40~l:54~e:280512603~c:280512603,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2603,s:40~l:54~t:2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,TRUE,2150,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,3,218,s:40~l:54~t:218,Temple,Owls,TEM,Temple Owls,Temple,A80532,a7a9ac,TRUE,4117,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,3,280512603,2008,2,"",3,Atlantic 10 Conference,A 10,TRUE,,,"","","",,,TRUE,FALSE,FALSE
280512542,s:40~l:54~e:280512542~c:280512542,2008-02-21T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2542,s:40~l:54~t:2542,Savannah State,Tigers,SAV,Savannah State Tigers,Savannah State,280298,f78f1e,TRUE,1931,https://a.espncdn.com/i/teamlogos/ncaa/500/2542.png,43,2454,s:40~l:54~t:2454,North Florida,Ospreys,UNF,North Florida Ospreys,North Florida,004B8D,babcbe,TRUE,2123,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,46,280512542,2008,2,"",,"","",,,,"","","",,,FALSE,FALSE,FALSE
280512378,s:40~l:54~e:280512378~c:280512378,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2378,s:40~l:54~t:2378,UMBC,Retrievers,UMBC,UMBC Retrievers,UMBC,000000,ad860a,TRUE,6008,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,1,399,s:40~l:54~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff,TRUE,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,280512378,2008,2,"",1,America East Conference,Am. East,TRUE,,,"","","",,,TRUE,TRUE,TRUE
280512329,s:40~l:54~e:280512329~c:280512329,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2329,s:40~l:54~t:2329,Lehigh,Mountain Hawks,LEH,Lehigh Mountain Hawks,Lehigh,6c2b2a,b69e70,TRUE,2141,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,22,2142,s:40~l:54~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,231f20,TRUE,2188,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,280512329,2008,2,"",22,Patriot League,Patriot,TRUE,,,"","","",,,FALSE,FALSE,FALSE
280512272,s:40~l:54~e:280512272~c:280512272,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2272,s:40~l:54~t:2272,High Point,Panthers,HP,High Point Panthers,High Point,b0b7bc,ebebeb,TRUE,7116,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,6,2427,s:40~l:54~t:2427,UNC Asheville,Bulldogs,UNCA,UNC Asheville Bulldogs,UNC Asheville,156199,c2c3c0,TRUE,2609,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,6,280512272,2008,2,"",6,Big South Conference,Big South,TRUE,,,"","","",,,FALSE,FALSE,FALSE
280512230,s:40~l:54~e:280512230~c:280512230,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2230,s:40~l:54~t:2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,909090,TRUE,2007,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,3,2752,s:40~l:54~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,TRUE,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,280512230,2008,2,"",3,Atlantic 10 Conference,A 10,TRUE,,,"","","",,,TRUE,FALSE,FALSE
280512184,s:40~l:54~e:280512184~c:280512184,2008-02-21T00:00Z,0,TRUE,FALSE,TRUE,FALSE,[],2008-02-21T00:00Z,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2184,s:40~l:54~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,b90b2e,TRUE,1958,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,3,113,s:40~l:54~t:113,UMass,Minutewomen,MASS,UMass Minutewomen,UMass,880007,"",TRUE,1984,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,3,280512184,2008,2,"",3,Atlantic 10 Conference,A 10,TRUE,,,"","","",,,TRUE,TRUE,TRUE
