id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id
400997341,s:40~l:54~e:400997341~c:400997341,2017-11-10T17:00Z,0,True,False,False,False,[],2017-11-10T17:00Z,0,N/A,2009,Reed Green Coliseum,Hattiesburg,MS,8095.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2572,s:40~l:54~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,ffc423,True,2009,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,2730,s:40~l:54~t:2730,William Carey,Crusaders,WCC,William Carey Crusaders,William Carey,000000,,False,,,,400997341,2018,2,,,,,,
400995888,s:40~l:54~e:400995888~c:400995888,2017-11-10T17:00Z,0,True,False,False,False,[],2017-11-10T17:00Z,0,N/A,2093,Reitz Arena,Baltimore,MD,2100.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2352,s:40~l:54~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,c9cbca,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,22,172,s:40~l:54~t:172,Cornell,Big Red,COR,Cornell Big Red,Cornell,d60027,101010,True,1913,https://a.espncdn.com/i/teamlogos/ncaa/500/172.png,12,400995888,2018,2,,,,,,
400994892,s:40~l:54~e:400994892~c:400994892,2017-11-10T17:00Z,748,True,False,False,False,[],2017-11-10T17:00Z,0,N/A,135,Silvio O. Conte Forum,Chestnut Hill,MA,8606.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,103,s:40~l:54~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,2803,s:40~l:54~t:2803,Bryant,Bulldogs,BRY,Bryant Bulldogs,Bryant,000000,9f8343,True,2182,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,19,400994892,2018,2,,,,,,
400994096,s:40~l:54~e:400994096~c:400994096,2017-11-10T17:00Z,3935,True,False,False,False,[],2017-11-10T17:00Z,0,N/A,1992,Gallagher-Iba Arena,Stillwater,OK,13611.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,197,s:40~l:54~t:197,Oklahoma State,Cowgirls,OKST,Oklahoma State Cowgirls,Oklahoma State,FF6500,ff9900,True,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,2916,s:40~l:54~t:2916,Incarnate Word,Cardinals,UIW,Incarnate Word Cardinals,Incarnate Word,000000,080808,True,4532,https://a.espncdn.com/i/teamlogos/ncaa/500/2916.png,25,400994096,2018,2,,,,,,
400993311,s:40~l:54~e:400993311~c:400993311,2017-11-10T17:00Z,0,True,False,False,False,[],2017-11-10T17:00Z,0,N/A,1955,TD Arena,Charleston,SC,5100.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,232,s:40~l:54~t:232,Charleston,Cougars,COFC,Charleston Cougars,Charleston,9c8456,e4e2dd,True,1955,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,10,288,s:40~l:54~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,True,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,400993311,2018,2,,,,,,
400995447,s:40~l:54~e:400995447~c:400995447,2017-11-10T17:30Z,0,True,False,False,False,[],2017-11-10T17:30Z,0,N/A,2162,D.J. Sokol Arena,Omaha,NE,2500.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,156,s:40~l:54~t:156,Creighton,Bluejays,CREI,Creighton Bluejays,Creighton,13299e,00235d,True,2162,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,4,2724,s:40~l:54~t:2724,Wichita State,Shockers,WICH,Wichita State Shockers,Wichita State,0d0a03,ffc41e,True,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,62,400995447,2018,2,,,,,,
400995446,s:40~l:54~e:400995446~c:400995446,2017-11-10T17:30Z,0,True,False,False,False,[],2017-11-10T17:30Z,0,N/A,1961,Moody Coliseum,Dallas,TX,7000.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2567,s:40~l:54~t:2567,SMU,Mustangs,SMU,SMU Mustangs,SMU,E32F38,ecdcb9,True,1961,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,62,2447,s:40~l:54~t:2447,Nicholls,Colonels,NICH,Nicholls Colonels,Nicholls,C41230,f0f0f0,True,2067,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,25,400995446,2018,2,,,,,,
400999086,s:40~l:54~e:400999086~c:400999086,2017-11-10T18:00Z,394,True,False,False,False,[],2017-11-10T18:00Z,0,N/A,1895,Credit Union 1 Arena,Chicago,IL,8000.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,82,s:40~l:54~t:82,UIC,Flames,UIC,UIC Flames,UIC,001e62,d50032,True,1895,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,45,111206,s:40~l:54~t:111206,Bethel College Indiana,Pilots,BTH,Bethel College Indiana Pilots,Bethel (IN),,,False,,,,400999086,2018,2,,,,,,
400998853,s:40~l:54~e:400998853~c:400998853,2017-11-10T18:00Z,0,True,False,False,False,[],2017-11-10T18:00Z,0,N/A,4489,Trojan Arena,Troy,AL,5200.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2653,s:40~l:54~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,True,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,2948,s:40~l:54~t:2948,Stillman,Tigers,STIL,Stillman Tigers,Stillman,000000,,False,,,,400998853,2018,2,,,,,,
400997661,s:40~l:54~e:400997661~c:400997661,2017-11-10T18:00Z,0,True,False,False,False,[],2017-11-10T18:00Z,0,N/A,2109,Convocation Center (MI),Ypsilanti,MI,8754.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,2199,s:40~l:54~t:2199,Eastern Michigan,Eagles,EMU,Eastern Michigan Eagles,E Michigan,00331b,f0f0f0,True,2109,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,14,50,s:40~l:54~t:50,Florida A&M,Rattlers,FAMU,Florida A&M Rattlers,FAMU,F89728,00843d,True,2205,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,16,400997661,2018,2,,,,,,
