id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season,season_type,home.alternateColor,home.venue.id,home.conferenceId,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401091443,s:40~l:54~e:401091443~c:401091443,2018-11-22T17:00Z,75,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'PUERTO RICO CLASICO'}]",2018-11-22T17:00Z,0,N/A,5135,Ruben Zayas Montanez Coliseum,Trujillo Alto,Puerto Rico,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,61,s:40~l:54~t:61,Georgia,Lady Bulldogs,UGA,Georgia Lady Bulldogs,Georgia,CC0000,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,2415,s:40~l:54~t:2415,Morgan State,Lady Bears,MORG,Morgan State Lady Bears,Morgan State,014786,f47937,TRUE,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,401091443,2019,2,000000,2088,23,"",,,,,,FALSE,TRUE,TRUE
401091026,s:40~l:54~e:401091026~c:401091026,2018-11-22T16:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': 'CANCUN CHALLENGE - MAYAN TOURNAMENT'}]",2018-11-22T16:00Z,0,N/A,4575,Hard Rock Hotel Riviera Maya,Cancun,Mexico,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,163,s:40~l:54~t:163,Princeton,Tigers,PRIN,Princeton Tigers,Princeton,ff9408,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/163.png,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,1997,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,401091026,2019,2,080808,1900,12,"",,,,,,TRUE,TRUE,TRUE
401096155,s:40~l:54~e:401096155~c:401096155,2018-11-22T01:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T01:00Z,0,N/A,2012,Sharp Gymnasium,Houston,TX,1000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2277,s:40~l:54~t:2277,Houston Baptist,Huskies,HBU,Houston Baptist Huskies,Houston Baptist,00539c,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,2758,s:40~l:54~t:2758,Howard Payne,Yellow Jackets,HPU,Howard Payne Yellow Jackets,Howard Payne,000000,"",FALSE,,"",,401096155,2019,2,"",2012,25,"",,,,,,FALSE,FALSE,FALSE
401090729,s:40~l:54~e:401090729~c:401090729,2018-11-22T01:00Z,2095,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T01:00Z,0,N/A,2171,Allen Fieldhouse,Lawrence,KS,16300,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2305,s:40~l:54~t:2305,Kansas,Jayhawks,KU,Kansas Jayhawks,Kansas,0022B4,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,2244,s:40~l:54~t:2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,TRUE,2167,https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png,3,401090729,2019,2,e8000d,2171,8,"",,,,,,TRUE,TRUE,TRUE
401090466,s:40~l:54~e:401090466~c:401090466,2018-11-22T01:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T01:00Z,0,N/A,1905,DakotaDome,Vermillion,SD,10000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,2724,s:40~l:54~t:2724,Wichita State,Shockers,WICH,Wichita State Shockers,Wichita State,0d0a03,ffc41e,TRUE,2086,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,62,401090466,2019,2,f0f0f0,5432,47,"",,,,,,FALSE,FALSE,FALSE
401094813,s:40~l:54~e:401094813~c:401094813,2018-11-22T00:05Z,231,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T00:05Z,1,STD,1959,Reese Court,Cheney,WA,6000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,331,s:40~l:54~t:331,Eastern Washington,Eagles,EWU,Eastern Washington Eagles,E Washington,a10022,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/331.png,254,s:40~l:54~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,21,401094813,2019,2,abb4bc,1959,5,"",,,,,,TRUE,TRUE,TRUE
401093202,s:40~l:54~e:401093202~c:401093202,2018-11-22T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T00:00Z,0,N/A,2188,Cotterell Court,Hamilton,NY,1782,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2142,s:40~l:54~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,2099,s:40~l:54~t:2099,Canisius,Golden Griffins,CAN,Canisius Golden Griffins,Canisius,004a81,dda50f,TRUE,2037,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png,13,401093202,2019,2,231f20,2188,22,"",,,,,,FALSE,FALSE,FALSE
401092204,s:40~l:54~e:401092204~c:401092204,2018-11-22T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T00:00Z,0,N/A,2146,McKenzie Arena,Chattanooga,TN,10996,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,236,s:40~l:54~t:236,Chattanooga,Mocs,UTC,Chattanooga Mocs,Chattanooga,00386b,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png,2335,s:40~l:54~t:2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,a61f21,TRUE,7117,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,46,401092204,2019,2,dca71d,2146,24,"",,,,,,FALSE,FALSE,FALSE
401091023,s:40~l:54~e:401091023~c:401091023,2018-11-22T00:00Z,216,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T00:00Z,0,N/A,2120,Lawrence Joel Veterans Memorial Coliseum,Winston-Salem,NC,14665,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,154,s:40~l:54~t:154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,9E7E38,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,2752,s:40~l:54~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,TRUE,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,4,401091023,2019,2,000000,2120,2,"",,,,,,TRUE,TRUE,TRUE
401090728,s:40~l:54~e:401090728~c:401090728,2018-11-22T00:00Z,0,TRUE,FALSE,FALSE,FALSE,[],2018-11-22T00:00Z,0,N/A,2039,UD Arena,Dayton,OH,13407,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2168,s:40~l:54~t:2168,Dayton,Flyers,DAY,Dayton Flyers,Dayton,004B8D,TRUE,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,2649,s:40~l:54~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,TRUE,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,401090728,2019,2,ffffff,2039,3,"",,,,,,FALSE,FALSE,FALSE
