id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
401262325,s:40~l:54~e:401262325~c:401262325,2021-01-24T05:00Z,0,False,False,True,False,[],2021-01-24T05:00Z,0,N/A,2085,Spiro Sports Center,Staten Island,NY,2100,True,0.0,0:00,0,6,STATUS_POSTPONED,post,False,Postponed,Postponed,Postponed,4,2681,s:40~l:54~t:2681,Wagner,Seahawks,WAG,Wagner Seahawks,Wagner,00483A,ffffff,True,2085,https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png,19,2803,s:40~l:54~t:2803,Bryant,Bulldogs,BRY,Bryant Bulldogs,Bryant,000000,9f8343,True,2182,https://a.espncdn.com/i/teamlogos/ncaa/500/2803.png,19,401262325,2,,19,Northeast Conference,NEC,True,
401263231,s:40~l:54~e:401263231~c:401263231,2021-01-24T23:00Z,0,True,False,True,False,[],2021-01-24T23:00Z,0,N/A,496,Haas Pavilion,Berkeley,CA,11877,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,25,s:40~l:54~t:25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,True,496,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,21,26,s:40~l:54~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,401263231,2,,21,Pac-12 Conference,Pac-12,True,
401263165,s:40~l:54~e:401263165~c:401263165,2021-01-24T20:00Z,0,True,False,True,False,[],2021-01-24T20:00Z,0,N/A,1064,McKale Center,Tucson,AZ,14644,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,12,s:40~l:54~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,38,s:40~l:54~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,True,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,21,401263165,2,,21,Pac-12 Conference,Pac-12,True,
401264866,s:40~l:54~e:401264866~c:401264866,2021-01-24T19:00Z,0,True,False,True,False,[],2021-01-24T19:00Z,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,130,s:40~l:54~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,2509,s:40~l:54~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,a4a9ad,True,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,401264866,2,,7,Big Ten Conference,Big Ten,True,
401264009,s:40~l:54~e:401264009~c:401264009,2021-01-24T18:00Z,0,True,False,True,False,[],2021-01-24T18:00Z,0,N/A,2007,Rose Hill Gymnasium,Bronx,NY,3200,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,2230,s:40~l:54~t:2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,909090,True,2007,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,3,2184,s:40~l:54~t:2184,Duquesne,Dukes,DUQ,Duquesne Dukes,Duquesne,002D62,b90b2e,True,1958,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,3,401264009,2,,3,Atlantic 10 Conference,A 10,True,
401264007,s:40~l:54~e:401264007~c:401264007,2021-01-24T18:00Z,0,True,False,True,False,[],2021-01-24T18:00Z,0,N/A,194,John M. Belk Arena,Davidson,NC,4300,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,2166,s:40~l:54~t:2166,Davidson,Wildcats,DAV,Davidson Wildcats,Davidson,000000,e51837,True,194,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,3,179,s:40~l:54~t:179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,,True,2042,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,3,401264007,2,,3,Atlantic 10 Conference,A 10,True,
401260493,s:40~l:54~e:401260493~c:401260493,2021-01-24T18:00Z,0,True,False,True,False,[],2021-01-24T18:00Z,0,N/A,135,Silvio O. Conte Forum,Chestnut Hill,MA,8606,True,0.0,0:00,0,6,STATUS_POSTPONED,post,False,Postponed,Postponed,Postponed,4,103,s:40~l:54~t:103,Boston College,Eagles,BC,Boston College Eagles,Boston College,88001a,a39161,True,135,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,2,221,s:40~l:54~t:221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pittsburgh,003263,231f20,True,2025,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,2,401260493,2,,2,Atlantic Coast Conference,ACC,True,
401256906,s:40~l:54~e:401256906~c:401256906,2021-01-24T18:00Z,0,True,False,True,False,[],2021-01-24T18:00Z,0,N/A,6008,Chesapeake Employers Insurance Arena,Baltimore,MD,6000,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,2378,s:40~l:54~t:2378,UMBC,Retrievers,UMBC,UMBC Retrievers,UMBC,000000,ad860a,True,6008,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,1,2349,s:40~l:54~t:2349,UMass Lowell,River Hawks,UML,UMass Lowell River Hawks,UMass Lowell,000000,cf1f2f,True,4485,https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png,1,401256906,2,,1,America East Conference,Am. East,True,
401254618,s:40~l:54~e:401254618~c:401254618,2021-01-24T18:00Z,0,True,False,True,False,[],2021-01-24T18:00Z,1,STD,7107,Atlantic Union Bank Center,Harrisonburg,VA,8500,True,0.0,0:00,0,6,STATUS_POSTPONED,post,False,Postponed,Postponed,Postponed,4,256,s:40~l:54~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,True,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,111,s:40~l:54~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,True,1898,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,10,401254618,2,,10,Colonial Athletic Association,CAA,True,
401264008,s:40~l:54~e:401264008~c:401264008,2021-01-24T19:00Z,0,True,False,True,False,[],2021-01-24T19:00Z,0,N/A,2039,UD Arena,Dayton,OH,13407,True,0.0,0:00,0,5,STATUS_CANCELED,post,False,Canceled,Canceled,Canceled,4,2168,s:40~l:54~t:2168,Dayton,Flyers,DAY,Dayton Flyers,Dayton,004B8D,ffffff,True,2039,https://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,3,227,s:40~l:54~t:227,Rhode Island,Rams,URI,Rhode Island Rams,Rhode Island,091f3f,5ab3e8,True,,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,3,401264008,2,,3,Atlantic 10 Conference,A 10,True,
