id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,game_id,PBP,team_box,player_box
401177815,s:40~l:54~e:401177815~c:401177815,2020-02-21T01:00Z,574,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,2115,UTSA Convocation Center,San Antonio,TX,2650,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2636,s:40~l:54~t:2636,UTSA,Roadrunners,UTSA,UTSA Roadrunners,UTSA,002A5C,f47321,TRUE,2115,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,11,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,TRUE,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,11,"",2020,11,Conference USA,C-USA,TRUE,,401177815,TRUE,TRUE,TRUE
401177814,s:40~l:54~e:401177814~c:401177814,2020-02-21T01:00Z,766,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,1902,Tudor Fieldhouse,Houston,TX,5208,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,242,s:40~l:54~t:242,Rice,Owls,RICE,Rice Owls,Rice,003D7D,d1d5d8,TRUE,1902,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,11,249,s:40~l:54~t:249,North Texas,Mean Green,UNT,North Texas Mean Green,North Texas,00853D,000000,TRUE,1938,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,11,"",2020,11,Conference USA,C-USA,TRUE,,401177814,TRUE,TRUE,TRUE
401177601,s:40~l:54~e:401177601~c:401177601,2020-02-21T01:00Z,312,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,2082,SRC Arena,Riverside,CA,2750,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,27,s:40~l:54~t:27,UC Riverside,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,"",TRUE,2082,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,9,13,s:40~l:54~t:13,Cal Poly,Mustangs,CP,Cal Poly Mustangs,Cal Poly,1E4D2B,eed897,TRUE,812,https://a.espncdn.com/i/teamlogos/ncaa/500/13.png,9,"",2020,9,Big West Conference,Big West,TRUE,,401177601,TRUE,TRUE,TRUE
401173920,s:40~l:54~e:401173920~c:401173920,2020-02-21T01:00Z,571,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,4534,GCU Arena,Phoenix,AZ,7000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2253,s:40~l:54~t:2253,Grand Canyon,Antelopes,GCU,Grand Canyon Antelopes,Grand Canyon,522398,f0f0f0,TRUE,4534,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,30,2547,s:40~l:54~t:2547,Seattle U,Redhawks,SEA,Seattle U Redhawks,Seattle U,BF2E1A,c2c3c0,TRUE,1965,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,30,"",2020,30,Western Athletic Conference,WAC,TRUE,,401173920,TRUE,TRUE,TRUE
401171315,s:40~l:54~e:401171315~c:401171315,2020-02-21T01:00Z,7401,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,282,Purcell Pavilion,South Bend,IN,9149,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,87,s:40~l:54~t:87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,00122b,ae9142,TRUE,282,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,2,259,s:40~l:54~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba,TRUE,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,"",2020,2,Atlantic Coast Conference,ACC,TRUE,,401171315,TRUE,TRUE,TRUE
401166725,s:40~l:54~e:401166725~c:401166725,2020-02-21T01:00Z,2166,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,2084,Memorial Gymnasium (Vanderbilt),Nashville,TN,14316,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,238,s:40~l:54~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,231f20,TRUE,2084,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,23,142,s:40~l:54~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Missouri,000000,000000,TRUE,2071,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,23,"",2020,23,Southeastern Conference,SEC,TRUE,,401166725,TRUE,TRUE,TRUE
401166719,s:40~l:54~e:401166719~c:401166719,2020-02-21T01:00Z,1888,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T01:00Z,0,N/A,1925,Coleman Coliseum,Tuscaloosa,AL,15383,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,333,s:40~l:54~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,57,s:40~l:54~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,"",2020,23,Southeastern Conference,SEC,TRUE,,401166719,TRUE,TRUE,TRUE
401179880,s:40~l:54~e:401179880~c:401179880,2020-02-21T00:30Z,1419,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T00:30Z,0,N/A,1948,McLeod Center,Cedar Falls,IA,6500,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2460,s:40~l:54~t:2460,Northern Iowa,Panthers,UNI,Northern Iowa Panthers,Northern Iowa,473282,ffffff,TRUE,1948,https://a.espncdn.com/i/teamlogos/ncaa/500/2460.png,18,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,TRUE,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,OT,2020,18,Missouri Valley Conference,MVC,TRUE,,401179880,TRUE,TRUE,TRUE
401177812,s:40~l:54~e:401177812~c:401177812,2020-02-21T00:30Z,3012,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T00:30Z,0,N/A,1897,Murphy Athletic Center,Murfreesboro,TN,11520,TRUE,6,0:06,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2393,s:40~l:54~t:2393,Middle Tennessee,Lady Raiders,MTU,Middle Tennessee Lady Raiders,Middle Tenn,0079C2,c3c5c8,TRUE,1897,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,11,5,s:40~l:54~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,"",2020,11,Conference USA,C-USA,TRUE,,401177812,TRUE,TRUE,TRUE
401177811,s:40~l:54~e:401177811~c:401177811,2020-02-21T00:30Z,1749,TRUE,FALSE,TRUE,FALSE,[],2020-02-21T00:30Z,0,N/A,1982,Thomas Assembly Center,Ruston,LA,8000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2348,s:40~l:54~t:2348,Louisiana Tech,Lady Techsters,LT,Louisiana Tech Lady Techsters,Louisiana Tech,002d65,d3313a,TRUE,1982,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,11,2572,s:40~l:54~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,ffc423,TRUE,2009,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,"",2020,11,Conference USA,C-USA,TRUE,,401177811,TRUE,TRUE,TRUE
