id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,notes,start_date,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,game_id,season,season_type,status_type_alt_detail,tournament_id,groups_id,groups_name,groups_short_name,groups_is_conference,PBP,team_box,player_box
330892174,s:40~l:54~e:330892174~c:330892174,2013-03-30T19:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WBI CHAMPIONSHIP GAME'}]",2013-03-30T19:00Z,,"",2005,Calihan Hall,Detroit,MI,8295,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2174,s:40~l:54~t:2174,Detroit Mercy,Titans,DET,Detroit Mercy Titans,Detroit Mercy,165b9e,d31733,TRUE,2005,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png,45,2377,s:40~l:54~t:2377,McNeese,Cowgirls,MCNS,McNeese Cowgirls,McNeese,00529C,"",TRUE,6007,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,330892174,2013,3,"",38,,"","",,TRUE,FALSE,FALSE
330890041,s:40~l:54~e:330890041~c:330890041,2013-03-30T18:39Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""NCAA WOMEN'S CHAMPIONSHIP - BRIDGEPORT REGION - SWEET 16 AT BRIDGEPORT CT""""""""""""""""}]",2013-03-30T18:39Z,,"",,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,001d40,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,330890041,2013,3,"",22,,"","",,TRUE,FALSE,FALSE
330890096,s:40~l:54~e:330890096~c:330890096,2013-03-30T16:00Z,0,TRUE,TRUE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""NCAA WOMEN'S CHAMPIONSHIP - BRIDGEPORT REGION - SWEET 16 AT BRIDGEPORT CT""""""""""""""""}]",2013-03-30T16:00Z,,"",,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:54~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,2100,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,48,s:40~l:54~t:48,Delaware,Blue Hens,DEL,Delaware Blue Hens,Delaware,033594,e8ce31,TRUE,2189,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,10,330890096,2013,3,"",22,,"","",,TRUE,FALSE,FALSE
330870279,s:40~l:54~e:330870279~c:330870279,2013-03-29T02:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-29T02:00Z,37,BM,,"","","",,,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,279,s:40~l:54~t:279,Pacific,Tigers,PAC,Pacific Tigers,Pacific,F47820,c2c3c0,TRUE,553,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,9,254,s:40~l:54~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,21,330870279,2013,3,OT,37,,"","",,TRUE,FALSE,FALSE
330872306,s:40~l:54~e:330872306~c:330872306,2013-03-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-29T00:00Z,37,BM,2131,Bramlage Coliseum,Manhattan,KS,12528,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2306,s:40~l:54~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,e7d2ad,TRUE,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,2050,s:40~l:54~t:2050,Ball State,Cardinals,BALL,Ball State Cardinals,Ball State,DA0000,ffffff,TRUE,299,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,14,330872306,2013,3,"",37,,"","",,TRUE,FALSE,FALSE
330870233,s:40~l:54~e:330870233~c:330870233,2013-03-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': 'WBI TOURNAMENT - SEMIFINAL'}]",2013-03-29T00:00Z,,"",,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,233,s:40~l:54~t:233,South Dakota,Coyotes,SDAK,South Dakota Coyotes,South Dakota,CD1241,f0f0f0,TRUE,5432,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,47,2377,s:40~l:54~t:2377,McNeese,Cowgirls,MCNS,McNeese Cowgirls,McNeese,00529C,"",TRUE,6007,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,330870233,2013,3,"",38,,"","",,TRUE,FALSE,FALSE
330872649,s:40~l:54~e:330872649~c:330872649,2013-03-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-28T23:00Z,37,BM,684,Allen County War Memorial Coliseum,Fort Wayne,IN,13000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2649,s:40~l:54~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,TRUE,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,356,s:40~l:54~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,f77329,fa6300,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,330872649,2013,3,"",37,,"","",,TRUE,FALSE,FALSE
330870189,s:40~l:54~e:330870189~c:330870189,2013-03-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-28T23:00Z,37,BM,,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,189,s:40~l:54~t:189,Bowling Green,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,492000,TRUE,2220,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,14,2182,s:40~l:54~t:2182,Drexel,Dragons,DREX,Drexel Dragons,Drexel,020260,ffd65a,TRUE,1903,https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png,10,330870189,2013,3,"",37,,"","",,TRUE,FALSE,FALSE
330862429,s:40~l:54~e:330862429~c:330862429,2013-03-27T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-27T23:00Z,37,BM,239,Dale F. Halton Arena,Charlotte,NC,9105,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2429,s:40~l:54~t:2429,Charlotte,49ers,CLT,Charlotte 49ers,Charlotte,ffffff,cfab7a,TRUE,239,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,3,57,s:40~l:54~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,330862429,2013,3,"",37,,"","",,TRUE,FALSE,FALSE
330860256,s:40~l:54~e:330860256~c:330860256,2013-03-27T23:00Z,0,TRUE,FALSE,FALSE,FALSE,"[{'type': 'event', 'headline': """"""""""""""""WOMEN'S NIT - 3rd ROUND""""""""""""""""}]",2013-03-27T23:00Z,37,BM,1980,JMU Convocation Center,Harrisonburg,VA,6426,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,256,s:40~l:54~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,TRUE,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,2230,s:40~l:54~t:2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,909090,TRUE,2007,https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,3,330860256,2013,3,"",37,,"","",,TRUE,FALSE,FALSE
