lineup,lineup_id,season
"Alanna Smith, Briann January, Brittney Griner, DeWanna Bonner, Essence Carson",87,2019
"Jewell Loyd, Jordin Canada, Mercedes Russell, Natasha Howard, Shavonte Zellous",88,2019
"Alanna Smith, Arica Carter, Briann January, Brittney Griner, Essence Carson",89,2019
"Jordin Canada, Mercedes Russell, Natasha Howard, Sami Whitcomb, Shavonte Zellous",90,2019
"Crystal Langhorne, Jordin Canada, Mercedes Russell, Sami Whitcomb, Shavonte Zellous",91,2019
"Arica Carter, Brianna Turner, DeWanna Bonner, Essence Carson, Yvonne Turner",92,2019
"Arica Carter, Briann January, Brianna Turner, DeWanna Bonner, Essence Carson",93,2019
"Arica Carter, Briann January, Brittney Griner, DeWanna Bonner, Essence Carson",94,2019
"Crystal Langhorne, Jewell Loyd, Mercedes Russell, Sami Whitcomb, Shavonte Zellous",95,2019
"Crystal Langhorne, Jewell Loyd, Natasha Howard, Sami Whitcomb, Shavonte Zellous",96,2019
"Briann January, Brittney Griner, DeWanna Bonner, Sophie Cunningham, Yvonne Turner",97,2019
"Alanna Smith, Briann January, Brittney Griner, Sophie Cunningham, Yvonne Turner",98,2019
"Alanna Smith, Briann January, Brittney Griner, Essence Carson, Sophie Cunningham",99,2019
"Alanna Smith, Briann January, Brianna Turner, Brittney Griner, Essence Carson",100,2019
"Alanna Smith, Briann January, Brianna Turner, DeWanna Bonner, Essence Carson",101,2019
"Jewell Loyd, Jordin Canada, Kaleena Mosqueda-Lewis, Mercedes Russell, Natasha Howard",102,2019
"Jordin Canada, Kaleena Mosqueda-Lewis, Mercedes Russell, Natasha Howard, Sami Whitcomb",103,2019
"Alanna Smith, Brittney Griner, DeWanna Bonner, Essence Carson, Yvonne Turner",104,2019
"Alanna Smith, Briann January, Brittney Griner, DeWanna Bonner, Sophie Cunningham",105,2019
"Jewell Loyd, Mercedes Russell, Natasha Howard, Sami Whitcomb, Shavonte Zellous",106,2019
"Briann January, Brittney Griner, DeWanna Bonner, Essence Carson, Sophie Cunningham",107,2019
"Alyssa Thomas, Courtney Williams, Jasmine Thomas, Jonquel Jones, Shekinna Stricklen",108,2019
"Ariel Atkins, Emma Meesseman, Kristi Toliver, LaToya Sanders, Natasha Cloud",109,2019
"Alyssa Thomas, Courtney Williams, Jasmine Thomas, Jonquel Jones, Morgan Tuck",110,2019
"Emma Meesseman, Kristi Toliver, LaToya Sanders, Natasha Cloud, Shatori Walker-Kimbrough",111,2019
"Alyssa Thomas, Brionna Jones, Courtney Williams, Jasmine Thomas, Morgan Tuck",112,2019
"Kristi Toliver, LaToya Sanders, Natasha Cloud, Shatori Walker-Kimbrough, Tianna Hawkins",113,2019
"Alyssa Thomas, Brionna Jones, Courtney Williams, Layshia Clarendon, Morgan Tuck",114,2019
"Ariel Atkins, Kristi Toliver, LaToya Sanders, Shatori Walker-Kimbrough, Tianna Hawkins",115,2019
"Ariel Atkins, Kristi Toliver, Myisha Hines-Allen, Shatori Walker-Kimbrough, Tianna Hawkins",116,2019
"Ariel Atkins, Myisha Hines-Allen, Natasha Cloud, Shatori Walker-Kimbrough, Tianna Hawkins",117,2019
"Bria Holmes, Brionna Jones, Courtney Williams, Layshia Clarendon, Morgan Tuck",118,2019
"Alyssa Thomas, Bria Holmes, Brionna Jones, Courtney Williams, Layshia Clarendon",119,2019
"Alyssa Thomas, Bria Holmes, Brionna Jones, Layshia Clarendon, Rachel Banham",120,2019
"Ariel Atkins, Emma Meesseman, Myisha Hines-Allen, Natasha Cloud, Shatori Walker-Kimbrough",121,2019
"Alyssa Thomas, Bria Holmes, Jonquel Jones, Layshia Clarendon, Rachel Banham",122,2019
"Ariel Atkins, Emma Meesseman, Kristi Toliver, Natasha Cloud, Shatori Walker-Kimbrough",123,2019
"Alyssa Thomas, Jasmine Thomas, Jonquel Jones, Layshia Clarendon, Rachel Banham",124,2019
"Emma Meesseman, Kristi Toliver, LaToya Sanders, Natasha Cloud, Tianna Hawkins",125,2019
"Emma Meesseman, Kristi Toliver, Natasha Cloud, Shatori Walker-Kimbrough, Tianna Hawkins",126,2019
"Emma Meesseman, Kim Mestdagh, Natasha Cloud, Shatori Walker-Kimbrough, Tianna Hawkins",127,2019
"Courtney Williams, Jasmine Thomas, Jonquel Jones, Morgan Tuck, Shekinna Stricklen",128,2019
"Courtney Williams, Jonquel Jones, Morgan Tuck, Rachel Banham, Shekinna Stricklen",129,2019
"Jonquel Jones, Layshia Clarendon, Morgan Tuck, Rachel Banham, Shekinna Stricklen",130,2019
"Brionna Jones, Layshia Clarendon, Morgan Tuck, Rachel Banham, Shekinna Stricklen",131,2019
"Ariel Atkins, Emma Meesseman, LaToya Sanders, Natasha Cloud, Shatori Walker-Kimbrough",132,2019
"Ariel Atkins, Emma Meesseman, Kristi Toliver, LaToya Sanders, Shatori Walker-Kimbrough",133,2019
"Ariel Atkins, Emma Meesseman, Kristi Toliver, Myisha Hines-Allen, Shatori Walker-Kimbrough",134,2019
"Emma Meesseman, Myisha Hines-Allen, Natasha Cloud, Shatori Walker-Kimbrough, Tianna Hawkins",135,2019
"Bria Holmes, Brionna Jones, Layshia Clarendon, Morgan Tuck, Rachel Banham",136,2019
"Alyssa Thomas, Brionna Jones, Layshia Clarendon, Morgan Tuck, Rachel Banham",137,2019
"Alyssa Thomas, Courtney Williams, Jonquel Jones, Layshia Clarendon, Morgan Tuck",138,2019
"Alyssa Thomas, Courtney Williams, Jonquel Jones, Morgan Tuck, Shekinna Stricklen",139,2019
"Emma Meesseman, LaToya Sanders, Myisha Hines-Allen, Shatori Walker-Kimbrough, Tianna Hawkins",140,2019
"Ariel Atkins, Emma Meesseman, LaToya Sanders, Myisha Hines-Allen, Shatori Walker-Kimbrough",141,2019
"Ariel Atkins, Emma Meesseman, Kim Mestdagh, LaToya Sanders, Shatori Walker-Kimbrough",142,2019
"Ariel Atkins, Emma Meesseman, Kim Mestdagh, LaToya Sanders, Natasha Cloud",143,2019
"Ariel Atkins, Emma Meesseman, Kim Mestdagh, Myisha Hines-Allen, Natasha Cloud",144,2019
"Ariel Atkins, Kim Mestdagh, Myisha Hines-Allen, Natasha Cloud, Tianna Hawkins",145,2019
